Name,Last Candle,This Candle,% Change,Close,SMA 200,SMA 201,Bollinger Band Stretch,Chaikin AD Last,Chaikin AD Now,CCI,Bollinger Band Middleband,Chaikin AD Osc Last,MFI,Stop,EMA 5,MACD,MACD Histogram,Bollinger Band Upperband,SMA 50,Bollinger Band Lowerband,ADX,DI-,RSI,DI+,EMA 21,MACD Signal,Chaikin AD Osc Now
BTC-DASH,Green,Green,0.008553617,0.0235,0.023427128,NOT,11.04275675,-182083.2347,-181595.1986,334.1729035,0.021395923,2806.999833,67.0985519,0.02118703,0.021956252,0.000211195,0.000100226,0.02251546,0.020859081,0.020276387,21.99958603,10.67824097,68.591246,32.03249383,0.02141159,0.000110969,3713.359795
BTC-ETC,Green,Red,-0.006658238,0.00109939,0.00136424,TRUE,0,-10193287.75,-10205011.85,-46.79947116,0.001111207,-22897.95238,46.11701178,0.00108,0.001094375,-1.31E-05,-2.75E-07,0.001111207,0.00113073,0.001111207,8.989792382,16.13366944,46.34077596,17.3498299,0.001108768,-1.28E-05,-22605.90648
BTC-WAVES,Green,Red,-0.004789566,0.00071614,0.000518174,NOT,0,4030172.833,3994945.43,113.2980523,0.000694633,-2786.942897,60.9062359,0.00067501,0.000694975,-1.05E-05,3.85E-06,0.000694633,0.000736224,0.000694633,12.30498662,15.94061419,53.42304805,17.72369188,0.000698599,-1.44E-05,-3180.357166
BTC-REP,Red,Red,-0.013072149,0.00360614,0.002584135,NOT,15.00789395,-3076982.781,-3081551.155,166.8752199,0.003381779,-7148.260331,76.05039715,0.00348548,0.003525638,-1.38E-05,4.50E-05,0.003617833,0.003618633,0.003145725,32.68457576,9.306629838,56.83746666,37.70682467,0.003448949,-5.88E-05,-8605.844294
BTC-OMG,Green,Red,-0.011454876,0.00037364,0.000430034,TRUE,0,28604362.3,28542945.79,142.2929291,0.000336308,64405.80806,64.56157655,0.00033157,0.000351544,5.08E-06,3.85E-06,0.000336308,0.00032973,0.000336308,21.50442206,10.70323817,65.93944175,31.24039639,0.000336841,1.23E-06,61286.29694
BTC-XMR,Green,Green,0.005479811,0.01290738,0.014657344,TRUE,4.004413385,3286.700304,2976.909927,108.5449392,0.012719675,4200.073884,59.59100399,0.01257501,0.012753995,-3.08E-05,8.49E-06,0.012969351,0.012806867,0.01247,11.06989904,12.70769184,53.63906969,18.86310524,0.012763366,-3.93E-05,5351.432133
BTC-GRS,Red,Red,-0.072934756,0.00012093,7.22259E-05,NOT,0,-2830682.206,-3545986.913,240.1247147,6.82E-05,-772223.3021,97.58412922,0.00011801,0.000100305,1.03E-05,6.88E-06,6.82E-05,6.35E-05,6.82E-05,56.19870232,2.202985262,72.73695254,57.81363957,7.39E-05,3.38E-06,-1494395.26
BTC-VTC,Green,Red,-0.005674119,0.00011808,8.85676E-05,NOT,0,-50009876.89,-50179525.14,202.6023117,0.000106491,-428191.2799,80.92430991,0.00011117,0.000112345,5.79E-06,-4.02E-08,0.000106491,9.07E-05,0.000106491,72.34698794,4.705678979,65.97227536,41.80740058,0.00010521,5.83E-06,-500413.7505
BTC-TUSD,Green,Green,0.000887722,0.00025909,0.000220635,NOT,0,-14793181.29,-14772009.66,-56.35365184,0.000260342,-25216.17712,53.20829105,0.00025523,0.000258797,-3.56E-06,2.75E-07,0.000260342,0.000273359,0.000260342,14.07610075,18.12006232,45.02424346,19.73101794,0.000262474,-3.84E-06,-14017.89713
BTC-QTUM,Green,Green,0.014842503,0.00055112,0.000568212,TRUE,0,-4459428.891,-4485147.063,55.00613531,0.000541302,-705.009935,67.85940192,0.000528,0.000544293,6.47E-07,1.17E-06,0.000541302,0.000540738,0.000541302,36.19802891,11.08978636,53.59311547,23.7196123,0.000541161,-5.24E-07,-7133.867898
