Chaikin AD Last,Bollinger Band Stretch,Chaikin AD Now,CCI,Last Candle,Bollinger Band Middleband,Chaikin AD Osc Last,SMA 200,MFI,Stop,EMA 5,MACD Histogram,Bollinger Band Upperband,Name,SMA 50,Bollinger Band Lowerband,ADX,MACD,DI-,RSI,DI+,% Change,EMA 21,This Candle,MACD Signal,Close,Chaikin AD Osc Now
-9985051.783733077,0.0,-9992197.836566357,-88.73514828328105,Red,0.0012044854999999997,-38172.40254336223,0.0015168468500000015,42.625552222465416,0.001122,0.0011672798652212762,-1.7507685607845148e-07,0.0012044854999999997,BTC-LSK,0.0012769217999999984,0.0012044854999999997,13.303422147208552,-2.9598423460773862e-05,21.87053971680571,41.302769594346955,18.686528747967753,0.0016902410817543068,0.0012049012714288566,Green,-2.942334660469541e-05,0.0011241,-42261.94346609153
19341015.51930594,11.52745639843953,19339928.70342718,-72.62885402361738,Red,0.0071384545000000065,-9716.298069916666,0.00813313529999999,51.8325959919028,0.0069,0.007066959120826842,3.160381079254628e-05,0.007527473610814604,BTC-NEO,0.007831728999999994,0.0067494353891854085,19.429776038447432,-0.00017847711030429675,23.4151882329438,41.12352930159293,13.899659210862957,-0.008143888335454985,0.007239045161756182,Red,-0.00021008092109684303,0.00693649,-10568.886174872518
867312.9107954053,15.448129573988755,867597.9025600877,43.86185849759338,Red,0.07887534799999997,3079.5436706255423,0.07104596575,64.3200090109553,0.07814001,0.07878139088682923,-6.854696032832015e-05,0.08453089301915043,BTC-ETH,0.07790322620000023,0.07321980298084951,19.875145633871096,9.372333676327393e-05,17.40687987822215,49.63739053745656,14.675617522460756,0.005351218125545731,0.07868595807675643,Green,0.00016227029709159409,0.07834291,1975.960774628562
-5230023.794353605,0.0,-5281547.263837123,-76.26684737595069,Red,0.0006317820000000002,-132843.06311304402,0.0007669416500000004,21.485073947847695,0.00057201,0.0005850197846036915,-3.305557498442152e-06,0.0006317820000000002,BTC-STRAT,0.0006912299999999996,0.0006317820000000002,17.52355867764337,-3.354924706057926e-05,22.282984582558466,37.99976558929286,14.162914941344217,-0.03192905422925996,0.0006269812606630003,Red,-3.0243689562137105e-05,0.00057847,-128941.88176412974
1658421200.5527904,0.0,1652398921.0098274,-130.0599354541263,Red,5.4935e-06,-34626291.92111063,6.4961e-06,23.01473055491144,4.85e-06,5.119716242239443e-06,4.830316131252377e-08,5.4935e-06,BTC-XVG,6.767400000000003e-06,5.4935e-06,35.14487407051504,-5.057024392688332e-07,25.052973325409685,34.67231472544872,10.146557757543924,-0.00806451612903214,5.622889671293058e-06,Red,-5.540056005813569e-07,4.96e-06,-33139060.215453625
-1550816.353768884,0.0,-1560450.3666659538,-81.80031634951811,Red,0.0003391815000000002,-86132.99374354188,0.00031492394999999804,29.529307262100723,0.0003,0.0003129768586378564,-2.4509223851885266e-06,0.0003391815000000002,BTC-STEEM,0.00036807699999999997,0.0003391815000000002,14.50189751675388,-1.4348988941214474e-05,20.105759879820052,39.063447822242345,20.76263078400138,-0.013260684041226378,0.0003333561813326838,Red,-1.1898066556025948e-05,0.00030466,-86613.0227386388
-330474.8613964952,52.084064718381406,-330874.5257993813,-96.52802005438868,Red,0.03495812199999994,-1839.3066326457774,0.035078146399999934,14.678333271225272,0.030195,0.031356435948121486,-0.0006547668495506058,0.04218095494945731,BTC-ZEC,0.03352669819999973,0.027735289050542566,20.965240989212727,-0.0009880129060635748,21.909304472036517,40.24567923133467,15.180325057914313,-0.008650664936749819,0.03343279868062086,Red,-0.00033324605651296893,0.03083,-1602.1283477189718
-3045851299.1992497,0.0,-3020489713.8267117,183.5142742259755,Green,2.1075000000000023e-06,55865378.88714695,2.19535e-06,66.64092921580436,2.08e-06,2.1097698874037093e-06,2.5308056815970405e-08,2.1075000000000023e-06,BTC-SC,2.398199999999996e-06,2.1075000000000023e-06,18.16473669912739,-7.538971816576173e-08,20.402373763926956,53.64387343099589,25.966491868343756,0.03139013452914807,2.139622031082823e-06,Green,-1.0069777498173213e-07,2.23e-06,83589284.3829732
-248427339.74064162,0.0,-248540630.31989256,25.036322606572604,Red,3.8028e-05,-144580.38332614303,3.2819899999999994e-05,55.63928381397925,3.783e-05,3.8583855842101927e-05,1.572941376719033e-07,3.8028e-05,BTC-XLM,4.0588400000000053e-05,3.8028e-05,21.500357796524973,-2.094205812188971e-07,20.34650421175241,48.34754093886011,14.809745459528514,-0.00914315569487989,3.86282370489293e-05,Red,-3.667147188908004e-07,3.828e-05,-308208.4966059625
1774719.020129411,5.011312217396324,1772790.5552939575,-110.07123448630368,Red,0.01599737000000001,-2050.68483441812,0.016576539699999993,43.258584064184596,0.01561479,0.015896857921606822,1.4394591561078075e-05,0.016388410937498127,BTC-LTC,0.01648273880000003,0.015606329062501895,9.415744071712785,-0.0001719371513864698,15.814486818878141,42.83348335600255,13.026245042044307,-0.007996023256079732,0.016081965331321647,Red,-0.00018633174294754789,0.01575158,-2871.2238693155814
305494.8479842633,19.980119752921443,305383.71109033586,121.82821773246373,Green,7657.079913965002,289.86788852582686,10279.356227023149,53.74040440420506,7620.0,7626.588023193338,59.28931210206491,8352.549003674316,USDT-BTC,8457.274957357587,6961.6108242556875,30.195201184331747,-215.42725183542643,21.192258439324622,45.4372808973621,12.079975647749563,-0.008900492877652488,7764.103964123361,Red,-274.71656393749134,7679.35,241.06189009174705
