Name,Close,Chaikin AD Last,Bollinger Band Stretch,Chaikin AD Now,CCI,Last Candle,Bollinger Band Middleband,Chaikin AD Osc Last,SMA 200,MFI,Stop,EMA 5,MACD Histogram,Bollinger Band Upperband,SMA 50,Bollinger Band Lowerband,ADX,MACD,DI-,RSI,DI+,% Change,EMA 21,This Candle,MACD Signal,Chaikin AD Osc Now
BTC-LSK,0.00049844,-11165289.699045848,0.0,-11171741.291260077,-18.929127139488152,Red,0.0005108024999999994,-16621.797221690416,0.0009332690000000014,40.56540513000321,0.00049551,0.0004993129618588286,2.705009357873724e-06,0.0005108024999999994,0.0005711905999999996,0.0005108024999999994,10.929826490649608,-2.0530502815273625e-05,18.25920323530243,42.072241437689314,16.901755541838433,-0.014184254875210578,0.0005176758107488558,Red,-2.323551217314735e-05,-21142.49044564739
BTC-NEO,0.00282,19051887.706889734,0.0,19049174.107018203,-22.236056969766576,Red,0.00280155250000001,-17888.52684127912,0.005584309949999982,64.63318694292273,0.002783,0.0028373886924094242,1.4653507581031544e-05,0.00280155250000001,0.0028376747999999917,0.00280155250000001,18.14264752069835,-2.3081354741542014e-05,14.197945942559597,47.817342511678376,23.033883615505353,-0.01773049645390079,0.0028423582487746863,Red,-3.773486232257356e-05,-16558.436648018658
BTC-ETH,0.034486,802624.6112184942,17.11767679884133,800606.4458119108,8.912834839845614,Red,0.03410104350000001,828.1634565340355,0.06116288965000001,65.86575555111219,0.0344,0.03462866041648746,0.0004817680713261722,0.036789588485109874,0.03748877760000029,0.03141249851489015,26.862272051069414,-0.000768769442005636,19.53315358200152,46.56763209163385,16.99925603733672,-0.017442730383344096,0.0347669647766387,Red,-0.0012505375133318082,-772.5155491395853
BTC-STRAT,0.00023505,-7521227.886538894,0.0,-7557454.298334914,33.31836551414444,Red,0.00022783000000000034,34259.11309383996,0.00045089375,59.63783521196575,0.00023505,0.00023841313923964277,1.97368428643593e-06,0.00022783000000000034,0.0002270255999999996,0.00022783000000000034,23.910124411017232,2.6478303587544833e-06,10.073700908551755,51.06469961326668,21.50408279245227,-0.034205488194001155,0.00023298442070259358,Red,6.741460723185534e-07,4203.461685064249
BTC-XVG,2.3e-06,947855050.4247266,0.0,933866546.7661376,113.82113821138176,Red,2.1925000000000006e-06,3033719.2454379797,4.6282499999999976e-06,71.71042973418011,2.3e-06,2.310087491280956e-06,2.5278724465925344e-08,2.1925000000000006e-06,2.1470000000000046e-06,2.1925000000000006e-06,19.277684228217982,3.480814114535198e-08,10.479458174628476,53.43209979879404,27.50283193072293,-0.013043478260869601,2.2234249518884234e-06,Red,9.529416679426634e-09,-13229520.322665572
BTC-STEEM,0.00012572,-6403088.029827991,0.0,-6415973.418887105,-76.03456297773354,Green,0.0001258080000000001,-86075.61280920543,0.00023859579999999813,56.86513130001969,0.00012453,0.00012779267925895632,3.453606145410466e-07,0.0001258080000000001,0.00013006460000000023,0.0001258080000000001,27.99412259621729,-3.9981957875438495e-07,13.251974445758355,46.17480028075496,20.91818040018582,-0.01129494113903906,0.000128341444871632,Red,-7.451801932954316e-07,-96050.2876393972
BTC-ZEC,0.01918276,-341918.4402029422,29.6355914616893,-342559.94666252524,-29.661674262894067,Green,0.019159482999999936,-618.5128067613114,0.027022588699999947,77.18548229804469,0.019115,0.019612708856251566,0.00010883062674919291,0.02163210759269034,0.02011317079999973,0.016686858407309532,24.11135636089627,-5.686778150590377e-05,17.403561182273343,45.97758185402543,21.79589864533802,-0.01893001841236608,0.019645243020099266,Red,-0.00016569840825509668,-975.260831245454
BTC-SC,1.04e-06,-4424686961.458968,0.0,-4331804138.958298,145.14705882352936,Green,9.065000000000029e-07,70531101.04933739,1.6205999999999996e-06,80.6566652205385,9.8e-07,9.867018285968576e-07,1.495655383945999e-08,9.065000000000029e-07,8.895999999999954e-07,9.065000000000029e-07,29.423950277035296,2.477175258866162e-08,8.980835779957493,63.26620437705771,32.38872943330772,0.009615384615384581,9.313823313911344e-07,Green,9.815198749201632e-09,101267466.64426136
BTC-XLM,3.788e-05,-280105168.12062824,0.0,-280478344.8110924,19.382491275982066,Red,3.599000000000002e-05,-3309280.444255471,3.5104399999999975e-05,67.48742762770759,3.781e-05,3.850333834746695e-05,1.5088828167286715e-07,3.599000000000002e-05,3.390920000000007e-05,3.599000000000002e-05,43.23218931752761,1.6892626335248965e-06,8.99011643085558,56.5377368116046,30.755789449456,-0.018479408658923058,3.652909269560419e-05,Red,1.5383743518520294e-06,-3550162.1827467084
BTC-LTC,0.00913499,1661617.3173464064,15.308859818169696,1661056.00049377,41.92039189297668,Red,0.008893618000000004,650.4327448750846,0.013288137400000004,58.801736615240465,0.00906001,0.009174326078469134,5.134708618339704e-05,0.009525970757584303,0.008812005800000028,0.008261265242415706,17.439661309898867,0.00010643234422067112,13.83270450066676,53.83419469602416,21.319135994228528,-0.02025070634997972,0.008987156761100831,Red,5.5085258037274076e-05,-658.3198449360207
